country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,bank_account
Rwanda,2016,uniqueid_7532,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7533,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7534,Rural,No,5,16,Female,Child,Single/Never Married,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7535,Urban,Yes,3,26,Female,Head of Household,Single/Never Married,Primary education,Self employed,No
Rwanda,2016,uniqueid_7536,Rural,Yes,3,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7537,Rural,Yes,5,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7538,Rural,Yes,3,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7539,Rural,No,5,53,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7540,Rural,No,3,32,Female,Head of Household,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7541,Rural,Yes,6,19,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7542,Rural,Yes,4,43,Female,Head of Household,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7543,Urban,Yes,5,61,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7544,Rural,Yes,7,44,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7545,Rural,Yes,3,24,Male,Child,Single/Never Married,Primary education,Self employed,Yes
Rwanda,2016,uniqueid_7546,Rural,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7547,Rural,Yes,5,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7548,Rural,No,1,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7549,Rural,No,2,23,Male,Parent,Divorced/Seperated,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7550,Rural,No,1,87,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7551,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7552,Urban,Yes,7,36,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7553,Rural,Yes,5,68,Female,Head of Household,Widowed,No formal education,Dont Know/Refuse to answer,No
Rwanda,2016,uniqueid_7554,Rural,No,6,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7555,Urban,Yes,2,22,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,Yes
Rwanda,2016,uniqueid_7556,Rural,Yes,5,16,Male,Child,Single/Never Married,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7557,Rural,Yes,6,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7558,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7559,Urban,Yes,4,29,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7560,Urban,Yes,3,23,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7561,Rural,Yes,1,88,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7562,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7563,Rural,Yes,4,34,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7564,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7565,Rural,Yes,3,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7566,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Rwanda,2016,uniqueid_7567,Rural,Yes,4,35,Female,Head of Household,Single/Never Married,Secondary education,Self employed,No
Rwanda,2016,uniqueid_7568,Rural,No,5,37,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7569,Rural,Yes,5,49,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7570,Rural,Yes,3,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7571,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7572,Rural,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7573,Rural,Yes,3,35,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7574,Rural,Yes,3,67,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7575,Rural,Yes,2,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7576,Rural,Yes,4,55,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7577,Rural,Yes,2,73,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7578,Urban,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7579,Rural,No,3,37,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7580,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Self employed,Yes
Rwanda,2016,uniqueid_7581,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7582,Rural,Yes,7,42,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7583,Rural,Yes,4,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7584,Rural,Yes,1,66,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7585,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7586,Rural,Yes,8,16,Female,Child,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7587,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7588,Rural,No,4,27,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7589,Urban,Yes,5,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7590,Rural,Yes,6,16,Male,Child,Single/Never Married,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7591,Rural,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7592,Rural,Yes,7,24,Male,Child,Single/Never Married,Primary education,Self employed,No
Rwanda,2016,uniqueid_7593,Rural,No,4,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7594,Urban,Yes,7,37,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent,Yes
Rwanda,2016,uniqueid_7595,Rural,Yes,4,44,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7596,Rural,No,3,71,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7597,Rural,Yes,4,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7598,Rural,Yes,6,37,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7599,Rural,No,5,55,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7600,Urban,Yes,6,18,Female,Child,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7601,Rural,Yes,8,36,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7602,Rural,No,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7603,Rural,Yes,4,63,Female,Head of Household,Widowed,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7604,Urban,Yes,4,34,Female,Spouse,Married/Living together,Primary education,Other Income,No
Rwanda,2016,uniqueid_7605,Rural,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7606,Rural,Yes,8,18,Female,Child,Single/Never Married,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7607,Rural,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7608,Urban,Yes,4,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,No
Rwanda,2016,uniqueid_7609,Rural,Yes,5,35,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7610,Rural,Yes,6,32,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7611,Rural,Yes,3,21,Female,Child,Single/Never Married,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7612,Rural,Yes,1,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7613,Rural,Yes,6,43,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7614,Rural,Yes,4,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7615,Rural,Yes,5,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7616,Rural,Yes,3,31,Male,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer,No
Rwanda,2016,uniqueid_7617,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7618,Rural,Yes,5,29,Female,Spouse,Married/Living together,Secondary education,Formally employed Government,Yes
Rwanda,2016,uniqueid_7619,Rural,Yes,6,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7620,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7621,Rural,Yes,6,28,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7622,Rural,Yes,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7623,Rural,Yes,3,26,Male,Head of Household,Married/Living together,No formal education,Self employed,No
Rwanda,2016,uniqueid_7624,Rural,Yes,3,62,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7625,Rural,Yes,5,33,Female,Head of Household,Married/Living together,Primary education,Other Income,No
Rwanda,2016,uniqueid_7626,Rural,Yes,3,75,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7627,Urban,Yes,8,41,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7628,Rural,No,5,33,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7629,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7630,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7631,Urban,Yes,3,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7632,Rural,Yes,2,24,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7633,Rural,No,3,26,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7634,Urban,Yes,4,47,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7635,Rural,No,4,44,Female,Head of Household,Widowed,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7636,Rural,Yes,7,45,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7637,Rural,Yes,8,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7638,Rural,Yes,2,64,Male,Head of Household,Married/Living together,Secondary education,Self employed,Yes
Rwanda,2016,uniqueid_7639,Rural,Yes,4,21,Male,Parent,Single/Never Married,Primary education,Other Income,No
Rwanda,2016,uniqueid_7640,Rural,Yes,7,23,Female,Child,Married/Living together,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7641,Rural,Yes,3,28,Male,Child,Single/Never Married,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7642,Urban,Yes,3,17,Male,Child,Single/Never Married,Secondary education,Other Income,No
Rwanda,2016,uniqueid_7643,Rural,Yes,4,31,Female,Spouse,Married/Living together,Primary education,Self employed,No
Rwanda,2016,uniqueid_7644,Rural,No,1,85,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Rwanda,2016,uniqueid_7645,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7646,Rural,Yes,5,44,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7647,Rural,Yes,8,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7648,Rural,Yes,6,24,Female,Parent,Single/Never Married,Primary education,Self employed,No
Rwanda,2016,uniqueid_7649,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7650,Rural,No,1,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7651,Rural,Yes,4,21,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7652,Rural,Yes,4,27,Female,Child,Single/Never Married,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7653,Urban,Yes,3,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7654,Rural,Yes,3,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7655,Rural,Yes,1,52,Male,Head of Household,Single/Never Married,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7656,Urban,Yes,4,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7657,Rural,No,3,46,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7658,Rural,Yes,3,19,Male,Child,Single/Never Married,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7659,Rural,No,4,30,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7660,Rural,No,7,35,Female,Spouse,Married/Living together,Other/Dont know/RTA,Informally employed,No
Rwanda,2016,uniqueid_7661,Rural,Yes,4,32,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7662,Rural,No,3,60,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7663,Rural,Yes,3,26,Female,Child,Single/Never Married,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7664,Urban,Yes,4,27,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7665,Rural,No,4,18,Female,Parent,Single/Never Married,Primary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7666,Rural,Yes,2,27,Female,Spouse,Married/Living together,Tertiary education,Remittance Dependent,Yes
Rwanda,2016,uniqueid_7667,Rural,No,2,50,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7668,Rural,Yes,8,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed,No
Rwanda,2016,uniqueid_7669,Rural,Yes,4,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7670,Rural,Yes,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7671,Urban,Yes,2,28,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7672,Rural,Yes,1,65,Male,Head of Household,Widowed,Secondary education,Other Income,Yes
Rwanda,2016,uniqueid_7673,Rural,Yes,2,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7674,Urban,No,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7675,Rural,Yes,5,43,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7676,Rural,Yes,3,28,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7677,Rural,No,3,41,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7678,Rural,Yes,7,18,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7679,Rural,No,6,25,Female,Child,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7680,Rural,Yes,7,23,Male,Child,Single/Never Married,Primary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7681,Urban,Yes,6,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7682,Rural,Yes,6,26,Female,Child,Single/Never Married,Secondary education,Dont Know/Refuse to answer,No
Rwanda,2016,uniqueid_7683,Rural,Yes,3,61,Female,Head of Household,Widowed,No formal education,Government Dependent,No
Rwanda,2016,uniqueid_7684,Urban,Yes,3,56,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7685,Rural,Yes,2,80,Female,Head of Household,Widowed,No formal education,Remittance Dependent,No
Rwanda,2016,uniqueid_7686,Rural,Yes,7,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7687,Rural,Yes,8,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7688,Rural,Yes,7,28,Female,Spouse,Married/Living together,Secondary education,Formally employed Government,Yes
Rwanda,2016,uniqueid_7689,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7690,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed,Yes
Rwanda,2016,uniqueid_7691,Rural,Yes,3,26,Male,Parent,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7692,Urban,Yes,5,30,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7693,Rural,No,2,70,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7694,Rural,No,3,26,Female,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7695,Rural,No,5,67,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7696,Rural,No,3,19,Female,Spouse,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7697,Rural,Yes,3,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7698,Rural,Yes,4,33,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government,Yes
Rwanda,2016,uniqueid_7699,Rural,Yes,6,41,Female,Head of Household,Widowed,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7700,Rural,Yes,4,25,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7701,Rural,Yes,8,34,Female,Parent,Single/Never Married,No formal education,Government Dependent,No
Rwanda,2016,uniqueid_7702,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Self employed,No
Rwanda,2016,uniqueid_7703,Rural,Yes,4,62,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7704,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7705,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed,No
Rwanda,2016,uniqueid_7706,Rural,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7707,Rural,Yes,1,31,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7708,Rural,Yes,3,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7709,Rural,Yes,6,74,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7710,Rural,Yes,3,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7711,Rural,Yes,7,22,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7712,Rural,No,2,76,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7713,Rural,Yes,4,35,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7714,Rural,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7715,Rural,Yes,6,19,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7716,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7717,Rural,Yes,7,55,Female,Spouse,Married/Living together,Primary education,Informally employed,Yes
Rwanda,2016,uniqueid_7718,Rural,Yes,9,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,No
Rwanda,2016,uniqueid_7719,Rural,Yes,7,37,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7720,Rural,Yes,7,45,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7721,Urban,Yes,4,22,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed,Yes
Rwanda,2016,uniqueid_7722,Rural,Yes,9,24,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7723,Urban,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7724,Urban,Yes,8,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7725,Rural,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7726,Rural,Yes,6,32,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7727,Rural,Yes,5,48,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing,Yes
Rwanda,2016,uniqueid_7728,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7729,Rural,Yes,2,47,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7730,Rural,Yes,7,43,Female,Spouse,Married/Living together,Primary education,Self employed,Yes
Rwanda,2016,uniqueid_7731,Urban,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Self employed,No
Rwanda,2016,uniqueid_7732,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7733,Rural,Yes,5,45,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7734,Rural,Yes,2,37,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7735,Rural,Yes,3,28,Male,Child,Single/Never Married,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7736,Rural,No,3,32,Female,Child,Divorced/Seperated,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7737,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7738,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7739,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7740,Rural,Yes,4,52,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7741,Urban,Yes,2,35,Female,Spouse,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7742,Rural,Yes,3,35,Male,Head of Household,Divorced/Seperated,No formal education,Self employed,No
Rwanda,2016,uniqueid_7743,Rural,Yes,5,49,Male,Head of Household,Married/Living together,Secondary education,Informally employed,No
Rwanda,2016,uniqueid_7744,Rural,Yes,6,34,Male,Head of Household,Married/Living together,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7745,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7746,Rural,No,2,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7747,Rural,No,3,57,Female,Head of Household,Widowed,No formal education,Farming and Fishing,No
Rwanda,2016,uniqueid_7748,Urban,Yes,7,31,Female,Spouse,Married/Living together,Secondary education,Other Income,Yes
Rwanda,2016,uniqueid_7749,Urban,Yes,4,58,Male,Head of Household,Married/Living together,Secondary education,Other Income,Yes
Rwanda,2016,uniqueid_7750,Urban,Yes,5,16,Male,Parent,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7751,Urban,Yes,3,53,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7752,Rural,Yes,2,29,Male,Parent,Single/Never Married,No formal education,Informally employed,No
Rwanda,2016,uniqueid_7753,Urban,Yes,8,24,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,No
Rwanda,2016,uniqueid_7754,Rural,Yes,5,32,Female,Parent,Widowed,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7755,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7756,Rural,No,2,24,Female,Spouse,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7757,Rural,Yes,2,61,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7758,Rural,No,3,40,Female,Spouse,Single/Never Married,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7759,Rural,Yes,5,30,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7760,Rural,Yes,8,44,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,No
Rwanda,2016,uniqueid_7761,Rural,No,5,30,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent,No
Rwanda,2016,uniqueid_7762,Rural,Yes,4,55,Male,Head of Household,Married/Living together,Primary education,Informally employed,No
Rwanda,2016,uniqueid_7763,Rural,No,1,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed,No
